Story Number,Descriptor,Date,Press,Country,Category,Column1
140,"Press editorial exhorts traditional healers in UWATA (healers association) to salvage traditional medicine from ""primitivity""...to help develop traditional medicines along scientific lines.",1/11/72,TS,TAN,2,
142,"Tanzanian healers association (UWATA) passes resolutions to ""expose by medicine"" anyone trying to sabotage the nation's political and economic development. Reports 6000 members.",1/13/72,TS,TAN,2,
148,"Kenya press reports a ""Nairobi witchdoctor is fined for having no license,"" and practicing witchcraft without a license. Report stated man had demanded 40 shillings to remove ""bad medicine"" from landlady's vacant rooms which were not being rented. ",8/15/72,DN,KEN,2,
151,"Magistrate in a Tanzania district court sentenced ""witchdoctor"" to 6 months for ""practicing witchcraft"" and accusing others in ujamaa village. Magistrate said witchcraft ""causes undue fear and often leads to murder and has been a hindrance to development.",4/10/73,DN,TAN,2,
155,"In Lushoto District, 50 women protest to Area Commissioner and demand permission to receive local medicine that they believe will make them immune from witchcraft.",12/3/73,DN,TAN,2,
156,"Leshoto, Tanzania, healer who professes immunity to witchcraft is arrested for collecting exorbitant fees.",1/23/74,DN,TAN,2,
158,"Healer jailed for causing ""fear, annoyance and injury"" to 16-year-old girl. The healer charged the girl's father 500 shillings to remove a snake's head from her stomach, kept her 3 months, made her accompany him to treat people, and threatened her with death.",2/6/74,DN,KEN,2,
161,"Two Dar es Salaam healers accused of conducting an unpaid ""slave labor racket"" involving 13 youths ages 13-18. Young men used to do ""chores,"" young woman ""to attract business."" Witchcraft powers suggested used by healer.",3/7/74,DN,TAN,2,
166,"Witchdoctor in Nachingwea, Tanzania, arrested by local political party, TANU, for threatening villagers. He allegedly bewitched women (which affected men who slept with them) and sold medicines that prevented wild animals from eating crops.",7/23/74,TS,TAN,2,
169,"Man charged with possession of fear-producing witchcraft charms released after admitting being able to cause many illnesses, including epilepsy and madness.",9/18/74,KS,KEN,2,
177,"In Malindi, Kenya, a man, Kingi Yaa, jailed for 18 months for possessing charms ""for the purpose of causing fear.""",4/7/75,DN,KEN,2,
179,"In Mombasa, Kenya, Mr. Kuduor Haingo fined 600 shillings for possessing a human skull, three calabashes of traditional medicine, and powder allegedly used in the exercise of ""witchcraft.""",4/17/75,DN,KEN,2,
187,"Kenya's Kajiwe appeals to all witchdoctors to abandon their practice, saying they often bewitch people who are working for the progress of the country.",8/13/75,DN,KEN,2,
195,"Letter to editor calls witchcraft ""psychological disease, a pollution of the mind, an infliction of fear into the people's minds."" Writer praises government's attempts at eradication and calls for public flogging of practitioners.",12/13/75,DN,KEN,2,
201,"Six men near Voi, Kenya, charged with practicing witchcraft, possessing charms, and scaring residents into believing their dead cattle had been bewitched. Accused deny charges, saying they possessed only medicines for their families.",4/20/76,DN,KEN,2,
209,"Man in Embu District, Kenya, who said he had practiced ""witchcraft"" since he was 12, jailed by court for treating women although he produced an unsigned document authorizing his practices as healer. Confusion in healing vs. witchcraft can be seen.",7/19/76,DN,KEN,2,
213,"Three men in Taita-Taveta, Kenya, claimed their charms were medicines for snake bite and for blessing graves. Jailed for possessing ""witchcraft"" charms.",11/6/76,DN,KEN,2,
222,Kenyan witchfinder Kajiwe helps police track down a suspect who claims alleged witchcraft articles were used for his own personal security.,7/16/77,DN,KEN,2,
227,"Misunderstanding of epilepsy and ideas that it is related to witchcraft, curses and evil winds is cited by medical columnist as source of a great deal of misery in Africa, particularly for children.",9/25/77,KS,KEN,2,
229,"In Embu, Kenya, man found with witchcraft charms states he went to a witchdoctor after doctors failed to cure an illness he had suffered for 16 years. Fined 300 shillings.",11/24/77,KS,KEN,2,
231,"In Kilifi, Kenya, witchcraft, herbs and beliefs are major drawbacks to family planning efforts, state field educators in report. Kwashiorkor and marasmus in children are commonly believed to be witchcraft aftermath of adulterous parents.",1/27/78,DN,KEN,2,
234,"Witchcraft cannot cure cholera, the Kwale District Commissioner in Kenya warns on tour of Kenya's Tanzania border areas. He warns against use of ""local doctors"" in seeking cholera treatment.",3/23/78,DN,KEN,2,
236,"Widespread mistrust is by-product of witchcraft, says Kwale D.C. ""You cannot have it both ways. If you want programs, you must forget about witchcraft and be development conscious,"" he said.",5/22/78,DN,KEN,2,
245,"Two women who allegedly rendered a man sexually impotent by a spell are fined 600 shillings in Kapenguria, Kenya court. Women stated they had successfully treated the man, but when he refused to pay the fee, they decided to reduce his sexual powers.",1/26/79,KS,KEN,2,
249,"Herbalists in Machakos, Kenya, form cooperative society and hail attempts by coast officials to ""wipe out the menace of witchcraft,"" disassociating themselves from ""witchdoctors.""",12/18/79,DN,KEN,2,
254,"Tanzania newspaper columnist reports 50,000 traditional medicine practitioners in country, as national exhibition of traditional medicines and healing technology is opened.",2/17/80,DN,TAN,2,
257,"Man suspected of witchcraft is taken to healer by mob near Malindi, Kenya.",5/29/80,KS,KEN,2,
258,"Letter to editor complains of ""evil"" family near Ugandan border in Kenya that brings ""sorcerers"" from Uganda, intimidates people, stifles progress and causes ongoing fear.",7/19/80,DN,KEN,2,
259,Herbalist-healer Leo Odera Omolo consulted on wide range of illnesses and advice. Many patients also consulted him on how to learn the way to success as candidates in the general elections.,7/27/80,KS,KEN,2,
260,"President Moi urges that witchcraft be discouraged and forgotten, but that good aspects of African culture be maintained.",8/13/80,KS,KEN,2,
263,"Man who used black mamba snake as part of his witchcraft kit jailed in Busia District, Kenya. Magistrate states use of African herbs as poisons is also rife in the region, with incidents occurring mainly at beer parties.",10/11/80,KS,KEN,2,
275,"Lamu, Kenya, government bans permits for dances which detect witchcraft believed to be causing deaths.",11/24/81,DN,KEN,2,
279,"Editorial condemns ""bush doctors"" after child dies in ""malpractice"" case in Kakamega. Report states many unreported cases, including misuse by practitioners of drugs, particularly potent prescription drugs, poisons, expired and spoiled drugs.",7/26/82,DN,KEN,2,
280,"Press runs long biography of Kenya ""witch-hunter"" Kajiwe, indicating that his reputation now creates great fear among witchcraft practitioners. However, his career has been politically turbulent as he mixes politics and his ""services.""",9/12/82,KS,KEN,2,
281,"Bulldozer operator excavates a pot containing witchcraft charms and is threatened by ""a nearby man."" He dies two days later, in a ""death by suggestion"" case, when he unearths a swarm of bees.",10/28/82,DN,KEN,2,
282,"Nairobi-based traditional healer treats wide range of illnesses, including witchcraft-related illness, particularly madness caused by witchcraft, venereal disease and other sex-based problems.",11/12/82,DN,KEN,2,
286,Biographical review of Kenya's Kajiwe as the nation's most prominent witchfinder.,5/4/83,KS,KEN,2,
287,"Over 240 children die in Singida District, Tanzania, from folk medicine operations for tonsils and circumcisions.",8/8/83,R,TAN,2,
290,"Outbreak of plague in Lushoto District, Tanzania, kills 29, hospitalizes 81. Efforts to eradicate the disease are hampered by the belief the disease is related to witchcraft which leads relatives to conceal the afflicted.",12/31/83,BBC,TAN,2,
293,"Police search for Kenya`s famous witchfinder, Kajiwe, following complaints from other ""medicine men and members of the public.""",6/18/84,DN,KEN,2,
296,Allegedly notorious and feared witchdoctor in Kajiado is stoned after witchfinder Kajiwe ordered him to abandon practices which were believed to include stopping rain.,12/12/84,DN,KEN,2,
297,"Ugandan practitioner who came from Tororo, Uganda, to Kenya is beaten during ritual ceremony to cure women of barrenness. Court case ensues.",1/15/85,DN,KEN,2,
301,"Healer argues in court that his charms are to heal, not to bewitch. Prosecution claims man sold ""witchcraft"" charms. Magistrate notes offenses of this nature are on the increase; fines healer for selling without a permit.",3/14/85,DN,KEN,2,
302,"Forced ""Kituitu"" oathings in Machakos, Kenya, by malicious ""medicine men"" are causing tensions that prevent people from participating in development projects, states District Commissioner.",3/18/85,DN,KEN,2,
303,"Kenyan Jon Kiko, 43, gains reputation as witchfinder, claims to be a disciple of Kajiwe and states his power to conquer witchcraft comes from God and the Christian bible.",5/5/85,KS,KEN,2,
306,"Kenya's Kajiwe cleanses a primary school believed to be bewitched, causing student illnesses. Admits to harboring spirits but denies knowing they are harmful.",9/4/85,DN,KEN,2,
307,Kenya press carries article on zombies and voodoo medicine in Haiti and links it to case in Kenya where man reportedly rises from the dead.,9/6/85,DN,KEN,2,
313,"A Kenyan herbalist near Thika argues herbs can be used for ""good"" purposes and offers to assist world doctors in the battle against AIDS.",12/10/85,DN,KEN,2,
315,Minister of Health in Kenya states the government backs research into the use of herbs that are not used for evil purposes.,12/17/85,DN,KEN,2,
318,Witchdoctors and traditional healers in Embu District barred from cultural festival after committee decides too much confusion exists on the topic. Herbalists were invited.,2/8/86,DN,KEN,2,
320,"Ugandan charged with possessing herbs and charms used in witchcraft, and illegal entry to Kenya; he flees after posting bail in Bungoma, Kenya.",4/8/86,DN,KEN,2,
325,"A Homa Bay ""witchdoctor"" denies murdering woman in an attempt to heal her with traditional medicine. Jailed for three years.",7/22/86,DN,KEN,2,
328,"In Kenya, where an estimated 70 percent of the people have patronized traditional healers, medicine men are steadily taking on professional trappings. They attend symposiums, cooperate with university-trained researchers and participate in a national association of herbalists. 

",1/4/87,ST,KEN,2,
339,"A healer named Yowanina Nanyonga claimed to have a vision which directed her to use special soil to heal any number of diseases. People from all over Uganda have flocked to her house in Rwentungu, Uganda, for samples of the soil.",10/19/89,NV,UGA,2,
342,"Security personnel in Mbarara, Uganda, launched a search for a man illegally practicing traditional medicine on the border between Tanzania and Uganda. The man is believed to be a Tanzanian mixing political and supernatural powers.",11/15/89,NV,UGA,2,
347,AIDS in East Africa continues to outstrip any attempts at national prevention campaigns. One reason is that many people believe the disease is caused by witches and refuse to seek medical treatment.,9/16/90,NYT,KEN,2,
348,"A teenage girl bled to death after receiving a traditional circumcision in Kipkelion, Kenya. Agnes Chepkoron is the fourth woman to die this year from circumcision, an illegal but very common practice. She was circumcised by a traditional healer who was charged with her death.",11/14/90,UPI,KEN,2,
349,"A Masai traditional healer predicts a short war in the Persian Gulf. He made this prediction by spitting in a gourd full of stones and then throwing them against a cowhide. The stones revealed that the war would be short, with minimal loss of life.",1/1/91,RN,KEN,2,
350,"Practitioners of traditional medicine are getting rich by helping gold prospectors in West Pokot, Kenya. Prospectors visit healers who then predict where the miners should search for gold.",7/21/91,TS,KEN,2,
365,A traditional healer who helped Kenyan and Ugandan soccer teams through the casting of spells has asked to become the official witchdoctor of the English national team.,4/30/94,TG,ENG,2,
378,"Dr. Baya Yamba called for traditional healers to be accounted for in AIDS prevention programs. Because many Ugandans believe that AIDS is caused by witchcraft, witch-hunters are often hired to kill witches in AIDS afflicted regions. These witch-hunters often have completely free rein to act as they see fit, and are sometimes backed by government officials.",12/13/95,AFP,UGA,2,
382,"A suspected witchdoctor was arrested for dumping an aborted fetus into a latrine in Lira, Uganda. The man confessed that he had helped many women get abortions and then dumped their fetuses in public toilets. The man would have been killed by local villagers had it not been for police intervention.",3/11/97,TM ,UGA,2,
389,"The reporter visits several traditional healers in the city of Eastleigh. The healers, calling themselves ""doctor"" or ""professor,"" claim to be able to heal both physical and psychological problems.",6/26/98,DN,KEN,2,
397,"Sheikh Ibrahim, a ""witchbuster,"" is renowned for using his powers to cleanse witches and make them renounce their craft. Kenyans come by the hundreds each day to ask for the Sheikh's help in cleansing themselves or their family.",5/3/99,TG,KEN,2,
405,A Ugandan traditional healer told the Judicial Commission of Inquiry that the police had framed him on illegal gun possession charges and stolen two vehicles from him. He also alleged that he was tortured on orders of the head of CID (police).,6/26/99,AN,UGA,2,
424,"A government clinic in Nakasongola, Uganda, was closed over allegations of witchcraft. Several patients died under suspicious causes, and the warden, fearing witchcraft, closed the clinic.",9/25/02,NV,UGA,2,
426,"The Mukono District Commissioner, Charles Mubiro, stated that some traditional healers are a security threat because they posses illegal firearms and let criminals use their shrines as hideouts. He announced a campaign to rid the healing class of its harmful elements.",12/5/02,TM,UGA,2,
444,"Rituals designed to ""smoke out"" witches and wizards have become common in Miritini, Mombasa, where a series of mysterious deaths have been attributed to witchcraft. People visit medicine men to receive protection from evil witches and wizards.",2/27/04,DN,KEN,2,
456,A man and his daughter died after drinking a concoction of traditional herbs in an attempt to cleanse the family of suspected evil spirits.,4/21/05,DN,KEN,2,
461,Magistrate forces man using live tortoise for witchcraft practice to forfeit reptile to game department. Magistrate criticized such use of animals in any form of healing or witchcraft.,NULL,DN,KEN,2,
464,"Nairobi-based traditional healer treats wide range of illnesses, including witchcraft-related illness, particularly madness caused by witchcraft. Venereal disease and other sex-based problems are treated.",1/16/07,New Vision,UGA,2,
475,"Police arrested a witchdoctor in Nairobi, Kenya, on charges of possessing dangerous items including horns, bottles of colored water, herbs, gourds, bracelets, and chains that were found in his Majoreni dwelling. ",5/29/07,TS,KEN,2,
477,"In Nairobi, a young man, who had developed a psychiatric illness that caused him to abuse people and create disorder, blamed his sickness on his neighbor, who demonstrated witch-like qualities.",12/16/07,TS,KEN,2,
11,"In Kenya, an alleged Nandi witchcraft practitioner, deported by government in 1924 to Meru for witchcraft, is re-deported to an island in Lake Victoria near District Commissioner's office for surveillance.",10/19/61,DN,KEN,3,N = 126
17,"Tanzanian MP called for deportation or prison for any person caught with witchcraft paraphernalia. He states such practitioners ""...are doing immense harm to the country.""",6/28/62,TS,TAN,3,
26,"Ugandan political leader charged with sedition when his publication stated his group would use their ""natural powers"" to dissolve the government.",1/21/63,UA,UGA,3,
38,"Senior Tanzanian official, Chief Marealle, states, ""Witchcraft will not stop until people take the trouble to seek out and understand its various forms … the way of the practice of witchcraft is the mutual fear between witches and victims.""",11/22/63,DN,TAN,3,
43,Kenya Coast Member of Parliament reports his constituents are agitated by coastal sorcery practices and warns that without government action the people will take action themselves.,2/1/64,DN,KEN,3,
45,"Kenyan coastal Member of Parliament, M. Jahazi, urges witchcraft be investigated by government in terms of the ""science"" that is being used.",2/25/64,DN,KEN,3,
49,"Kenyan Member of Parliament accuses other Members of Parliament of using ""witchdoctors"" to aid in their own elections.",3/17/64,EAS,KEN,3,
52,"In a community development conference in the Coast Region, Kenya, 65 government field workers denounce traditional healing beliefs as the main obstacles to progress because they prevent early diagnosis of disease and rob the people of good health.",5/29/64,DN,KEN,3,
53,Witchcraft Board of Inquiry bill is defeated by the Kenya Parliament when most Members of Parliament express the view that such a Board would be a waste of money.,6/12/64,DN,KEN,3,
54,"East African Court of Appeal judge states that the two main causes of murder in Uganda are beer parties and witchcraft. ""Emotions arising from a widespread belief in witchcraft often lead to murder and manslaughter,"" stated Sir Trevor Gould.",6/22/64,TS,UGA,3,
55,"Two hundred ""witchdoctors,"" including 27 women, surrendered paraphernalia at a government-sponsored meeting in Kirinyaga, Kenya. One man stated he had caused 9 deaths and publicly apologized. The district party chairman said the anti- witchcraft campaign would continue.",7/14/64,EAS,KEN,3,
56,"Near Mombasa, Kenya, the head of the Digo Political Union in Kwale District demands immediate action to eliminate witchcraft. He states many people practice witchcraft and the ""spells"" frighten parents so they do not send their children to school.",7/21/64,DN,KEN,3,
57,"On debate in Kenya Parliament, a letter states, ""…An ordinary Kenyan feels exasperated to find no national precaution or campaign has been reinforced by the government to exterminate the existence of the dreadful practice of witchcraft.""",7/24/64,EAS,KEN,3,
58,"In Kenya a letter to the editor argues people who have confessed to killing others through witchcraft should be prosecuted immediately. ""I call upon the government to decide if this is not murder?"" (refers to 14 July news report)",7/28/64,EAS,KEN,3,
59,"It is suggested during national witchcraft debate in Parliament that politicians in Kirinyage District are turning to ""witchcraft schemes"" as a way of getting their names in the paper because they cannot do so for other reasons.",8/8/64,EAS,KEN,3,
60,"Kirinyaga District Commissioner denies witchcraft is rampant in his district, although the press reports that many accusations by party youth league have led to violence.",8/10/64,DN,KEN,3,
61,"Kenya's coast politicians in Kwale District state witchcraft is the main reason for slow development; the ""Operation Witchdoctor"" to eradicate the practice is underway.",10/13/64,DN,KEN,3,
62,"While opening a new clinic in Mombasa, Kenya, the government minister emphasized that the government is determined to combat witchcraft by providing the best modern medicine.",10/20/64,SN,KEN,3,
67,"A man known as a professional ""witchdoctor"" in Kwale District, Kenya, is fined for absconding with another man's wife whom he was treating for illness. The court magistrate stated anybody ""who served the public must be absolutely honest.""",1/21/65,DN,KEN,3,
74,"In Bukoba, Tanzania, a self-proclaimed ""witchdoctor"" reported three Luo men from Kisumu, Kenya, asked him to prophesy best date for armed revolution in Kenya. The practitioner returned to Nairobi and reported the incident to KANU party chairman.",8/6/65,EAS,TAN,3,
78,Letter to the editor urges another anti-witchcraft drive by the Kenya Government.,12/14/65,EAS,KEN,3,
79,"Letter to the editor suggests some Kenyan deaths are possibly due to witchcraft activities of ""important"" people, such as politicians.",12/18/65,EAS,KEN,3,
80,"President Nyerere's principal secretary in the Tanzania National Assembly stated: ""Witchcraft must be stopped in this country...witches should go to work on Ian Smith (in Rhodesia).""",12/23/65,NYT,TAN,3,
81,"Letter to the editor states education is the answer to witchcraft, not a government drive to stamp it out.",12/24/65,EAS,KEN,3,
87,"North of Mombasa, Kenya, the Rubuma Welfare Association passed a resolution condemning witchdoctors, asking Kilifi District Commissioner for campaign to stamp them out for retarding progress. The group also called upon local MPs to help.",6/21/66,DN,KEN,3,
88,"In Kenya Parliament, MP from Embu states witchdoctors are inventors of medicines. ""We want the world to know these people because the evil colonial government kept them quiet. Drugs discovered by local people were not made known.""",10/12/66,EAS,KEN,3,
89,"Minister of State, President's Office, Kenya Parliament, reports government's intention to eliminate witchcraft. Appeals for MPs to cooperate, but states he is aware some MPs visit witchdoctors and seek their advice during elections.",11/24/66,DN,KEN,3,
90,"Article on Kenya coast witchcraft states people believe ""every baobab tree hides a genie and every chameleon is a reincarnation...witchdoctors abound...using dead flesh for medicines is common in some places...as is selling potions to win elections.""",11/27/66,SN,KEN,3,
91,"Government campaign against witchcraft in Bungoma District, Kenya, resulted in arrest and court appearance of 27 people. District Commissioner publicly denounced witchcraft and asked all citizens to report offenders.",12/15/66,EAS,KEN,3,
92,"Letter to editor praises witchfinder Kajiwe. ""Before he arrived coastal people were afraid to build better homes, improve farming methods and children cannot study properly at school because of old-fashioned beliefs in witchcraft.""",12/22/66,DN,KEN,3,
93,"75-year-old alleged witch put on public display with his paraphernalia and then denounced by Zanzibar officers who stated, ""After the revolution (1964) the banning of witches was announced by Mr. Karume, the first Vice President.""",1/8/67,TS,TAN,3,
95,"On Zanzibar, Vice President Karume addresses mass rallies to eliminate witchcraft. He exhibits a group of alleged witchdoctors and appeals to them ""to abolish their black arts and engage in activities that would benefit the nation.""",8/10/67,TS,TAN,3,
96,"Party cell leader in Dar es Salaam claims his house is haunted when meat, roots, beads and cloth were left at his door and other household items set on fire. He was given another house by housing authorities.",8/12/67,TS,TAN,3,
99,"In Kilifi, Kenya, a group of women demonstrate against Provincial Commissioner when he refused to allow famous witchfinder Kajiwe permission to ""cleanse"" the area of witches.",3/23/68,NULL,KEN,3,
101,"Government officer in Mbeya, Tanzania, appeals to paramedics to discourage witchcraft beliefs and encourage use of health dispensaries.",7/17/68,TS,TAN,3,
104,"Ujamaa village in Mara, Tanzania, warned by area Commissioner not to practice witchcraft or black magic.",10/21/68,TN,TAN,3,
107,"TANU meeting in Nachingwea District, Tanzania, orders arrest of man disrupting ujamaa village by witchcraft, allegedly bewitching women so that men who had sex with them died. Man stated he only used medicines to prevent animals from eating crops and theft.",11/10/68,TN,TAN,3,
110,Newspaper columnist in Tanzania explains witchcraft laws in his action line report.,8/23/69,TN,TAN,3,
123,"Arrest of Kenya witchfinder Kajiwe for ""mixing politics and witchcraft"" leads to local interest in his home area of Rabai, near Mombasa.",11/2/70,KS,KEN,3,
126,"At the opening of Mombasa hospital, President Kenyatta challenged witchcraft practitioners to convince him that witchcraft was good for national development. He said there was ""good witchcraft,"" but that other types were dangerous to medical development.",1/10/71,NYT,KEN,3,
131,Report that fragments of human body parts used for witchcraft found in an ujamaa village in Mwanza corrected in press the following day. Fragments discovered to be the remains of a dead donkey.,5/13/71,TN,TAN,3,
143,Widespread rumors that the government is carrying out murders to obtain blood for the national hospitals spread through Morogoro District on the basis of unexplained deaths. Government moves to dispel rumors.,1/22/72,TS,TAN,3,
145,"Peasant fears of ""Mumiani"" (blood hunters) and harassment of ""invisible guests"" at lunch time discounted by Mwanza, Tanzania, TANU party leaders as ""mere psychological problems coupled with superstition.""",2/24/72,TN,TAN,3,
146,"Mwanza Area Commissioner states ""witchdoctors"" and fortune tellers can only practice after obtaining letters of approval from local development committees and branch TANU party offices.",3/19/72,SN,TAN,3,
150,"People who seek to convince others that certain diseases are curable only through witchcraft are enemies of the nation, stated TANU regional chairman in a public health meeting near Arusha, Tanzania.",1/24/73,DN,TAN,3,
152,Over 75 women protest to TANU party office in Lushoto district against expulsion from their village by policeman claiming to protect people from witchcraft by medicine.,8/15/73,DN,TAN,3,
159,"In Bungoma District, Kenya, Assistant Minister condemns witchcraft; he claims it to be prevalent, particularly in the north. Citizens urged not to be frightened of ""so-called witchdoctors"" who might confuse them and thus retard rapid development.",2/7/74,KS,KEN,3,
162,"Assistant Minister of Health in Kenya urges coastal people to use new health center as ""wachawi"" (witch practitioners) cannot cure all diseases.",3/25/74,DN,KEN,3,
168,National Housing Estate political party chairman threatens to resign on grounds some committee members have threatened to bewitch him. Committee denies belief in witchcraft.,8/30/74,DN,TAN,3,
171,"100 people, charged with practicing ""witchcraft,"" released by court for lack of evidence. Suspects, aged 25-75, allegedly had human bones, hair, lion and leopard skins in their homes.",10/26/74,DN,TAN,3,
176,"In Sumbawanga, Tanzania, Vice President Jumbe denounces ""witchcraft"" practitioners as ""parasites and lazy people who weaken the struggle to change the social environment.""",1/24/75,DN,TAN,3,
180,"Kenyan ""witchfinder"" Kajiwe released from detention for ""mixing politics with witchcraft and converting his home into an oathing center,"" stating he wishes to ""settle down.""",5/28/75,DN,KEN,3,
191,"Attempts to influence court proceeding in Malindi reported by magistrate to include blood on court floor, birds released in court, eggs broken in judge's chamber. These activities described as attempts to keep witnesses from testifying.",9/20/75,DN,KEN,3,
194,"Kenya attorney general, Charles Njonjo, states in Parliament that ""traditional witchdoctors like Kabwere and Kajiwe are deceitful and untrustworthy people who fool others for gain.""",12/3/75,DN,KEN,3,
197,"In Kwale, letter to editor calls witchcraft an ""international culture"" and suggests that high court judgment and election nullifications have been based on witchcraft.",2/8/76,SN,KEN,3,
198,Kenya Government chief in Coast Province escapes a mob of 120 men who attack his office claiming he practiced witchcraft.,3/16/76,DN,KEN,3,
200,"Operation Uchawi (witchcraft), launched by Kenya's coastal police in clean-up campaign, brings 400 cases to trial in 6 months; the fines ranged from 200 to 1000 shillings. One specific case involves ""witchdoctor"" consulted by students which led to school boycott.",3/30/76,DN,KEN,3,
203,"Judge in Voi, Kenya, describes witchcraft charms as ""rubbish,"" directs them buried in front of court building, and sentences four for witchcraft. She states that anybody who wishes to practice with local medicines or herbs must obtain a permit.",5/7/76,DN,KEN,3,
204,"Ugandan women charged in Eldoret, Kenya, with possessing articles of witchcraft ""for the purpose of causing fear, annoyance or injury to people's minds,"" and failing to register as aliens.",5/11/76,DN,KEN,3,
207,"Kenyan Vice President Moi urged coast region people to overcome psychology of witchcraft, stating ""it is all psychology...brought by the colonialists to make us live in fear so they could continue ruling us.""",6/1/76,DN,KEN,3,
216,"Kilifi, Kenya, magistrate states witchcraft retards development and everyone who practices it will be prosecuted.",12/22/76,DN,KEN,3,
217,"Coastal people urged by Provincial Commissioner to discard witchcraft and concentrate on programs that boost the country's economy, particularly businesses concerned with tourism.",2/24/77,KS,KEN,3,
218,"Confusion in Kenya court reported over items of ""witchcraft"" or for healing. Practitioner fined for ""witchcraft.""",3/1/77,KS,KEN,3,
219,Prime Minister Edward Sokoine of Tanzania launches campaign to educate people in Sukumaland; program states that believing in witchcraft is a source of hostility among people.,4/4/77,DN,TAN,3,
221,"Witchdoctors named ""number one enemy of the people"" by government chief in Kitale, Kenya, ""because they instill fear among people...often practiced by senseless hooligans.""",5/7/77,DN,KEN,3,
228,"Uganda's former minister of health, Henry Kyemba, reports Idi Amin regularly uses ""witchdoctors"" for advice and continues to engage in tribal rituals that render spirits of his dead enemies harmless.",10/25/77,UPI,UGA,3,
230,Kenya`s Kajiwe used by court in Mombasa to identify dangerous herbs and articles during trial of man accused of practicing witchcraft.,1/13/78,KS,KEN,3,
237,"In ""truth-drug"" ceremony to determine who ""bewitched and killed"" a local leader, one man dies, three become ill and admitted to Homa Bay hospital. ""Medicine man"" held.",8/8/78,DN,KEN,3,
241,"Court justice states witchcraft is neither a defense nor acceptable provocative factor in trial of man found guilty of killing 50-year-old Kitui, Kenya, woman for allegedly bewitching his brother and uncle.",12/22/78,KS,KEN,3,
243,"Tanzania's Government announced two year project to assess the impact of witchcraft on national development policies in three regions. Study tied to villagization problem, traditional healing practices and other issues in Kigoma, Tanga, and Rukwa, Kenya.",12/28/78,KS,TAN,3,
247,"Medical officers in western Kenya call on police to arrest ""bush doctors"" who sell drugs, including poisons, at bus stops and in small shops.",11/19/79,DN,KEN,3,
251,"Kenya magistrate calls on ""high-ranking officials who practice witchcraft...to change their ways as their salvation lies in Christ and not in the devil.""",12/31/79,DN,Kenya,3,
253,Former Kenyan vice-President Oginga Odinga alleged to have committed acts of superstition and witchcraft in attempt to influence voting for his candidate against William Odongo Omamo in the general elections.,2/17/80,KS,Kenya,3,
256,Kenya professor argues witchcraft legislation is in need of review to make it more applicable to addressing social nature of witchcraft.,5/25/80,SN,KEN,3,
264,"Unfair election practices charged against Kenya minister Paul Ngei. Opponent stated ""fear was instilled in people (by oathing) that if they voted for anybody else but Ngei they would die.""",2/11/81,DN,KEN,3,
266,"Kenya Minister of Livestock Development, James Osogo, tells high court that two candidates for election in Busia indulged in witchcraft to influence voters.",4/2/81,DN,NULL,3,
267,"A defeated candidate for election in Kwale district Kenya attempts to unseat the Assistant Minister of Energy, claiming that witchcraft was used in the election.",5/29/81,DN,KEN,3,
269,"Election rigging charged in court by candidate who lost in Kwale District. ""Witchcraft"" allegedly performed on the winning candidates' election symbol to make it victorious.",6/12/81,KS,KEN,3,
273,"Witchdoctors in Machakos, Kenya, reportedly coming from Kitui coast areas, are said to undermine health services, trick people and drive big cars, states senior government chief.",9/5/81,KS,KEN,3,
274,Mass gathering at Malindi stadium on Kenyatta Day resolves to condemn and eliminate witchcraft.,11/22/81,DN,KEN,3,
276,"Kenya witchfinder Kajiwe states he ""arrested three witchdoctors and will turn them over to authorities."" He also states witchdoctors in the area have special committee who ensure that no development efforts are accomplished.",1/9/82,KS,KEN,3,
284,"Two KANU party officials in Kiambu District, Kenya, claim a candidate for election hired a ""witchdoctor from Coast Province"" to bewitch anyone who did not vote for him.",4/9/83,KS,KEN,3,
288,"Secret oath-taking ceremony to influence voters in Parliamentary elections is revealed to be an invented story. Kenya Times, the ruling party paper which published it, apologizes to readers.",9/16/83,R,KEN,3,
289,"Some 10,000 voters took part in ceremony to cleanse themselves of oaths to support Paul Ngei for reelection. Kenyan Minister is center of controversy around whether supernatural punishment can be used against voters not supporting him.",9/25/83,R,KEN,3,
298,"Kenyan chief asserts he has list of witchcraft practitioners who will be exposed to the public if they continue to practice, particularly around the school.",1/25/85,KS,KEN,3,
299,"Tana River government District Commissioner accuses local ""witchdoctors"" of robbing the sick, threatening ""total war"" against them.",3/6/85,DN,KEN,3,
311,"Witchcraft and oathing paraphernalia reportedly used in election campaign by Kenyan doctor, court hearing told.",11/14/85,DN,KEN,3,
331,"A group of rebels, led by Alice Lakwena, “a spirit wrapped in shadow,” fights the Ugandan government in the northern province of Acholi. Her soldiers believe that they have been made impervious to bullets and often enter battle without any weapons, instead carrying charms and other supposedly magical items. ",11/22/87,AP,UGA,3,
332,"National Executive Committee Secretary Mongella calls on Sungusungu militia to end and control the killings of people suspected of witchcraft in Shinyanga, Mwanza and Tabora districts. A special committee has been formed in Shinyanga to investigate the killings and to discover the causes.",10/20/88,BBC,TAN,3,
335,A suspicious package containing witchcraft charms and fetishes was found under the seat of the Chief Magistrate of the Kampala District Court. It is assumed that the bundle was placed there to force a favorable decision in one of the magistrate's cases.,2/13/89,TS,UGA,3,
